0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/My_Design/logo.jpg HTTP/1.1" 200 14536
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/My_Design/cart11.png HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/My_Design/102.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/My_Design/104.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/My_Design/102.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:26 +0530] "GET /DigitalGallery/resources/My_Design/104.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:31 +0530] "GET /DigitalGallery/HeyOrderConfirmation HTTP/1.1" 200 5599
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:17:31 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
